sample_id,scenario,true_K,method,display_name,set_rmse,set_mae,k_hat,k_acc,k_abs_err,outlier_5deg
U2_clean_K2#0001,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1731557583549582,0.1371731393638562,2,1.0,0,0.0
U2_clean_K2#0002,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2816583670271733,0.2816556827407677,2,1.0,0,0.0
U2_clean_K2#0003,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1779616972940923,0.1769389124212423,2,1.0,0,0.0
U2_clean_K2#0004,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2873382113018254,0.2869773439962362,2,1.0,0,0.0
U2_clean_K2#0005,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.5354612974365176,0.4010102518314991,2,1.0,0,0.0
U2_clean_K2#0006,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2489627479009601,0.2422189539037162,2,1.0,0,0.0
U2_clean_K2#0007,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.3893709245708338,0.353923514541453,2,1.0,0,0.0
U2_clean_K2#0008,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0708106282522427,0.0522517639586803,2,1.0,0,0.0
U2_clean_K2#0009,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1278514283970816,0.0955700685477043,2,1.0,0,0.0
U2_clean_K2#0010,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.130099431192135,0.1145639517423386,2,1.0,0,0.0
U2_clean_K2#0011,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.0434315744570064,0.0364097275411472,2,1.0,0,0.0
U2_clean_K2#0012,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1464282866183257,0.1121821566446836,2,1.0,0,0.0
U2_clean_K2#0013,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.1212246261706044,0.0869284085304187,2,1.0,0,0.0
U2_clean_K2#0014,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.2447783777609558,0.184729846161415,2,1.0,0,0.0
U2_clean_K2#0015,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.379274438277233,0.2937060629894645,2,1.0,0,0.0
U2_clean_K2#0016,U2_clean_K2,2,FROST-DOA,FROST-DOA,0.230946894182732,0.2245963481957158,2,1.0,0,0.0
